Food item,Store,GTIN/UPC,Price,Quantity,Unit,Brand/Type,Energy,Protein,"Fiber, total dietary","Folate, DFE","Calcium, Ca","Carbohydrate, by difference","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn","Sodium, Na",Energy
Bread,TJs,00740661,4.49,24.00,oz,Sprouted Wheat Sourdough Bread,214.0,17.9,10.7,0.0,143.0,25.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,214.0
Rice,TJs,017400118006,3.29,3.00,lb,TJs Jasmine Rice,370.0,8.7,0.0,0.0,0.0,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0
Pasta,TJs,00323673,1.99,1.00,lb,Organic Fusilli Corti Bucati Pasta,375.0,12.5,8.9,0.0,36.0,73.2,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
Apples,TJs,887434088381,1.29,0.33,lb,Honeycrisp Apples,54.0,0.41,2.1,0.0,8.0,14.0,0.15,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,54.0
Tomatoes,TJs,021130338023,2.99,1.00,lb,TJs Campari Tomatoes,21.0,0.83,0.8,0.0,0.0,4.13,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,21.0
Lettuce,TJs,07789015057,3.49,10.00,oz,Romaine Hearts,18.0,1.18,2.4,0.0,33.0,3.53,0.94,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,102.0,0.0,6.0,18.0
Eggs,TJs,090208301023,4.99,20.50,oz,Pasture Raised Large Brown Eggs,140.0,12.0,0.0,0.0,40.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0
Milk,TJs,717544202264,4.99,64.00,Floz,Organic Reduced Fat Milk ,54.0,4.17,0.0,0.0,146.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,54.0
Frozen Shrimp,TJs,041735048554,11.99,1.00,lb,Wild Raw Argentinian Red Shrimp,71.0,14.1,0.0,0.0,27.0,0.0,0.24,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,71.0
Chicken,TJs,085239028377,2.99,1.00,lb,Organic Chicken Drumsticks,138.0,19.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,138.0
Peanut Butter,TJs,072488981454,2.49,16.00,oz,Creamy Salted Peanut Butter,588.0,23.5,8.8,0.0,59.0,20.6,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,588.0
Spinach,TJs,854311007094,1.99,6.00,oz,Organic Baby Spinach,24.0,2.35,2.4,0.0,94.0,3.53,3.18,71.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,480.0,0.0,76.0,24.0
Cucumber,TJs,895580002816,2.49,1.00,lb,Persian Cucumbers,15.0,0.0,0.5,0.0,19.0,3.85,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,2.0,15.0
Carrots,TJs,078783908066,1.69,24.00,oz,Cut and Peeled Carrots,36.0,1.79,1.8,0.0,0.0,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,80.0,36.0
Yogurt ,TJs,00414340,0.99,5.30,oz,Nonfat Plain Greek Yogurt,94.0,4.71,0.6,0.0,176.0,15.9,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,94.0
Oatmeal ,TJs,04656702200,2.29,16.00,oz,Steel Cut Oatmeal,97.0,3.54,1.8,0.0,35.0,16.8,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,97.0
Granola,TJs,20743482,3.79,16.00,oz,Maple Pecan Granola Cereal,459.0,8.2,6.6,0.0,0.0,70.5,2.3,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,459.0
Ground Turkey,TJs,725439978873,4.49,1.00,lb,Ground Turkey,143.0,21.4,0.0,0.0,0.0,0.89,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,143.0
Butter,TJs,078354620113,3.99,16.00,oz,"Butter Quarters, Salted",714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,714.0
Bell Peppers,TJs,874896005735,3.49,12.00,oz,Organic Red Bell Peppers,18.0,1.18,1.2,0.0,0.0,4.71,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.6,0.0,0.0,0.0,0.0,18.0
Nuts,TJs,00079969,2.99,13.00,oz,"TRADER JOE'S, DRY ROASTED & SALTED ALMONDS",567.0,23.3,13.3,0.0,267.0,16.7,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,567.0
Vegetable Oil,TJs,00475594	,2.99,5.00,oz,Organic Canola Oil Spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish,TJs,00958363,9.99,1.00,lb, ALBACORE TUNA IN WATER,107.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,107.0
Cheese,TJs,227870903297,4.29,16.00,oz,WISCONSIN SHARP CHEDDAR CHEESE,429.0,25.0,0.0,0.0,714.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,429.0
Cereal,TJs,00946629,2.49,15.00,oz,CORN CEREAL,379.0,6.9,0.0,0.0,0.0,82.8,0.0,0.0,17.2,0.0,0.0,1.47,1.0,0.0,5.17,1.72,20.7,0.0,0.0,0.0,431.0,379.0
Kale,TJs,021130284986,3.49,10.00,oz,Organic Shredded Kale,47.0,4.71,3.5,0.0,153.0,8.24,1.18,0.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,47.0
Quinoa,TJs,030034934811,3.99,16.00,oz ,Organic White Quinoa,378.0,13.3,6.7,0.0,44.0,64.4,4.44,0.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0
Onion,TJs,688267033292,0.99,8.00,oz,Yellow Onions,30.0,0.68,2.0,0.0,27.0,7.43,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,3.0,30.0
Sugar,TJs,00592277,3.99,2.00,lb,Organic Cane Sugar,400.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
Bagels,TJs,857176008121	,2.49,18.00,oz,Plain Bagels,247.0,2.35,2.4,0.0,47.0,44.7,1.06,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,247.0
Avocado,TJs,071117172539	,3.49,7.60,oz,TJs Avocados,133.0,0.0,3.3,0.0,0.0,6.67,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,133.0
Coffee ,TJs,850352005785,4.99,14.00,oz,Joe Medium Roast Ground Coffee,1.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chicken Meatball,TJs,850002282177,3.99,12.00,oz,Chicken Meatballs,165.0,15.3,0.0,0.0,98.0,7.06,1.18,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,165.0
Flour,TJs,041268197187,2.99,5.00,lb,All-Purpose Flour,333.0,10.0,3.3,0.0,333.0,76.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0
Bread,Safeway,021130183432,4.99,24,oz,Signature SELECT Bread Long Sliced Loaf San Francisco Style Sourdough - 24 Oz,250.0,10.0,2.5,0.0,325.0,45.0,2.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,250.0
Rice,Safeway,21130502097,6.79,5,lb,Mahatma Jasmine Thai Fragrant Long Grain Rice In Bag,356.0,6.67,0.0,0.0,0.0,77.8,3.2,0.0,3.56,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0
Pasta,Safeway,021130507368,1.50,16,oz,Signature SELECT Pasta Penne Rigate Box,375.0,12.5,1.8,0.0,0.0,78.6,1.43,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
Apples,Safeway,887434088381,2.00,0.33,lb,Honeycrisp apples,54.0,0.41,2.1,0.0,8.0,14.0,0.15,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,54.0
Tomatoes,Safeway,021130338023,3.49,1,lb,Red roma tomato,21.0,0.83,0.8,0.0,0.0,4.13,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,21.0
Lettuce,Safeway,077745207933,2.99,10.00,oz,Romaine lettuce,12.0,1.18,1.2,0.0,24.0,3.53,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,12.0,12.0
Eggs,Safeway,021130032259,4.99,20.5,oz,Happy Egg Co. Eggs Free Range Large,140.0,12.0,0.0,0.0,60.0,0.0,1.8,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0
Milk,Safeway,021130070695,2.79,32,oz,Clover Sonoma 2% Reduced Fat Milk,54.0,3.75,0.0,0.0,104.0,5.42,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,54.0
Frozen Shrimp,Safeway,021130123230,13.98,2,lb,waterfront BISTRO Shrimp Raw Large Ez Peel Shell & Tail On Frozen 26-30 Count - 2 Lb,97.0,18.6,0.0,0.0,44.0,0.0,1.77,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,97.0
Chicken,Safeway,085239028377,11.45,5,lb,Signature Farms Chicken Drumsticks Value Pack,138.0,19.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,138.0
Peanut Butter,Safeway,9300652800654,5.99,28,oz,Signature SELECT Peanut Butter Creamy,590.0,30.0,6.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,590.0
Spinach,Safeway,021130146697,3.50,5,oz,O Organics Organic Baby Spinach,25.0,2.82,2.1,0.0,99.0,3.52,2.68,0.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,0.0,77.0,25.0
Cucumber,Safeway,095829420030,1.00,14,oz,Cucumber,15.0,0.84,0.4,0.0,17.0,3.8,0.3,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,15.0
Carrots,Safeway,078783908066,2.99,16,oz,Signature Select/Farms Baby-Cut Peeled Carrots,36.0,1.79,1.8,0.0,0.0,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,80.0,36.0
Yogurt ,Safeway,021130125746,4.99,24,oz,Greek Gods Yogurt Greek Style Traditional Plain,53.0,5.29,0.0,0.0,194.0,7.65,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,53.0
Oatmeal ,Safeway,021130315703,4.49,24,oz,O Organics Organic Oats Steel Cut,393.0,14.3,10.7,0.0,536.0,67.9,28.2,143.0,0.0,357.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,393.0
Granola,Safeway,021130311798,5.49,11,oz,Nature Valley Protein Granola Oats N Honey,433.0,10.0,6.7,0.0,67.0,66.7,2.4,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,433.0
Ground Turkey,Safeway,021130173020,4.99,16,oz,Jennie-O 93% Lean Ground Turkey Fresh,205.0,17.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,205.0
Butter,Safeway,032601033125,5.99,16,oz,Lucerne Butter Salted Sweet Cream 4 Quarters,12.0,1.18,1.2,0.0,24.0,2.35,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,12.0
Bell Peppers,Safeway,874896005735,2.00,0.33,lb,Red bell peppers,18.0,1.18,1.2,0.0,0.0,4.71,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.6,0.0,0.0,0.0,0.0,18.0
Nuts,Safeway,021130128877,3.50,16,oz,Planters peanuts dry roasted,571.0,21.4,14.3,0.0,286.0,21.4,3.57,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0
Vegetable Oil,Safeway,021130266388,5.39,24,Floz,Signature SELECT oil vegetable pure,857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0
Fish,Safeway,021130283927,14.99,1.5,lb,Fish Salmon Atlantic Fillet Farm Raised Color Added Value Pack Service Case,122.0,27.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,122.0
Cheese,Safeway,021130043026,9.99,32,oz,Lucerne Cheese Shredded Low-Moisture Part-Skim Mozzarella,321.0,21.4,0.0,0.0,536.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0,321.0
Cereal,Safeway,021130152858,3.99,10.8,oz,Cheerios Honey Nut Cereal Whole Grain Oat Sweetened Real Honey,390.0,7.32,4.9,0.0,390.0,80.5,13.2,0.0,4.88,0.0,244.0,0.0,2.0,0.0,0.0,0.488,0.0,0.0,0.0,7.32,683.0,390.0
Kale,Safeway,021130284986,3.49,1,lb,Organic green kale,47.0,4.71,3.5,0.0,153.0,8.24,1.18,0.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,47.0
Quinoa,Safeway,021130503292,24.99,64,oz,Organic quinoa,190.0,4.08,0.0,0.0,12.0,37.4,1.36,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,190.0
Onion,Safeway,688267083532,1.49,8,oz,yellow onion,30.0,0.68,2.0,0.0,27.0,7.43,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,3.0,30.0
Sugar,Safeway,021130250080,5.99,4,lb,C&H Sugar Granulated White Pure Cane,375.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
Bagels,Safeway,021130323111,2.99,18,oz,Signature SELECT bagels plain,309.0,10.6,2.1,0.0,117.0,55.3,3.19,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,309.0
Avocado,Safeway,873668002439,2.00,7.6,oz,medium Hass avocado,167.0,3.33,6.7,0.0,0.0,10.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,167.0
Coffee ,Safeway,850352005785,9.99,10,oz,O Organics Coffee Ground Dark Roast French Roast,1.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chicken Meatball,Safeway,0810882011434,16.89,18,oz,"Kidfresh Chicken Meatball, 1645 Ounce",175.0,12.5,0.0,0.0,60.0,7.5,1.25,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,175.0
